Title,Certificate,Duration,Genre,Rating,Description, Stars,Votes,Year
The Amityville Haunting,Not Rated,86 min,Horror,2.6,"In disregard of the shocking DeFeo murders, an unsuspecting family moves into the infamous house on 112 Ocean Avenue. Now, ghostly apparitions start to appear in their video surveillance system. Can they survive the Amityville haunting?","['Geoff Meed', '| ', '    Stars:', 'Jason Williams, ', 'Amy Van Horne, ', 'Devin Clark, ', 'Nadine Crocker']",2384,2011
The Apostate,Unrated,80 min,Comedy,5.8,An existential comedy about a Spanish man trying to apostatize from the Catholic Church.,"['Federico Veiroj', '| ', '    Stars:', 'Álvaro Ogalla, ', 'Marta Larralde, ', 'Bárbara Lennie, ', 'Vicky Peña']",706,2015
The Asterisk War,TV-14,23 min,"Animation, Action, Comedy",6.8,"The Academy City on the water, Rikka (also known as Asterisk) is the world's largest stage for the integrated battle entertainment, ""Star Wars Festival."" The young boys and girls of the ""...                See full summary »","['Atsushi Tamaru, ', 'Ai Kakuma, ', 'Kira Buckland, ', 'Erik Scott Kimerer']",2106,2016
The Awakening,Not Rated,83 min,"Horror, Thriller",2.5,"A group of LA twenty-somethings are lured out of the city and out into the wilderness in search of a rave, a hot girl, and good times. Instead, they encounter an ancient evil; a demon ...                See full summary »","['Vince Rotonda', '| ', '    Stars:', 'Kevin Lowe, ', 'Luke Gannon, ', 'Brian Schaefer, ', 'Nancy McCrumb']",155,2010
The Babysitter,TV-MA,85 min,"Comedy, Horror",6.3,"When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.","['McG', '| ', '    Stars:', 'Judah Lewis, ', 'Samara Weaving, ', 'Robbie Amell, ', 'Hana Mae Lee']",92479,2017
The Bag Man,R,108 min,"Action, Crime, Drama",5.2,"A criminal bides his time at a seedy motel, waiting for his boss after killing several men and making away with a mystery bag.","['David Grovic', '| ', '    Stars:', 'John Cusack, ', 'Rebecca Da Costa, ', 'Robert De Niro, ', 'Crispin Glover']",17082,2014
The Barrier,TV-MA,50 min,"Drama, Sci-Fi",6.8,"In 2045, Spain like the rest of the western world has been driven into a dictatorial regime by the lack of natural resources. Life in the countryside is impossible, and in the city a fence divides peoples into the powerful, and the rest.","['Unax Ugalde, ', 'Olivia Molina, ', 'Eleonora Wexler, ', 'Abel Folk']",3553,2020
The Beauty Queen of Jerusalem,TV-MA,28 min,Drama,7.2,"A family living through the Ottoman Empire, The British Mandate and Israel's War of Independence. The multi-generational historical melodrama will shoot across the country in Hebrew, English, Ladino and Arabic.","['Swell Ariel Or, ', 'Michael Aloni, ', 'Irit Kaplan, ', 'Hila Saada']",584,2021
The Big Day,TV-MA,40 min,"Reality-TV, Romance",4.7,"For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry.","['Divya Singh, ', 'Daniel Bauer, ', 'Prerna Gupta, ', 'Kunwar Sood']",347,2021
The Blacklist,TV-14,43 min,"Crime, Drama, Mystery",8,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","['James Spader, ', 'Megan Boone, ', 'Diego Klattenhoff, ', 'Ryan Eggold']",245591,2013
The Bletchley Circle,TV-14,45 min,"Crime, Drama, History",7.9,"In 1952, four women who worked at the wartime code-breaking centre, Bletchley Park, reunite to track down a serial killer.","['Rachael Stirling, ', 'Julie Graham, ', 'Sophie Rundle, ', 'Anna Maxwell Martin']",12671,2014
The Bold Type,TV-14,45 min,"Comedy, Drama",7.8,A glimpse into the outrageous lives and loves of those responsible for a global women's magazine.,"['Katie Stevens, ', 'Aisha Dee, ', 'Meghann Fahy, ', 'Melora Hardin']",21044,2021
The Boondocks,TV-MA,22 min,"Animation, Action, Comedy",8.5,"Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather.","['Regina King, ', 'John Witherspoon, ', 'Gary Anthony Williams, ', 'Cedric Yarbrough']",30847,2014
The Boss Baby: Back in Business,TV-Y7,25 min,"Animation, Adventure, Comedy",6.4,"With a little help from his brother and accomplice, Tim, Boss Baby tries to balance family life with his job at Baby Corp headquarters.","['JP Karliak, ', 'David W. Collins, ', 'Flula Borg, ', 'Pierce Gagnon']",3810,2021
The Boss Baby: Back in the Crib,TV-Y7,25 min,"Animation, Adventure, Comedy",6.1,"Framed for a corporate crime, an adult Ted Templeton turns back into the Boss Baby to live undercover with his brother, Tim, posing as one of his kids.","['Krizia Bajos, ', 'Mara Junot, ', 'Karan Soni, ', 'Mary Faber']",190,2022
The Boulet Brothers' Dragula,TV-MA,48 min,"Game-Show, Horror, Reality-TV",7.9,"The Boulet Brothers host a reality series to reveal the World's next Dragula Supermonster. Each drag artist vies for the title and crown through a series of challenges to unveil their best drag, filth, horror and glamour.","['Dracmorda Boulet, ', 'Swanthula Boulet, ', 'Israel Zamora, ', 'Jeremy Brian']",1217,2016
The Boys in the Band: Something Personal,TV-MA,28 min,Documentary,7.2,"Decades after his play first put gay life center stage, Mart Crowley joins the cast of the 2020 film to reflect on the story's enduring legacy.","['Joel Kazuo Knoernschild', '| ', '    Stars:', 'Matt Bomer, ', 'Charlie Carver, ', 'Mart Crowley, ', 'Robin de Jesus']",371,2020
The Brave Ones,TV-14,45 min,"Drama, Fantasy, Sci-Fi",3.6,An all-mighty goddess reincarnated as a young woman must harness her divine powers to avenge her sister's death and protect her family from destruction.,"['Tony Kgoroge, ', 'Bonko Khoza, ', 'Sthandile Nkosi, ', 'Nomalanga Nkosi']",229,2022
The Break,TV-MA,52 min,"Crime, Drama, Thriller",7.6,Crime series kick-started by the finding on a young man's body.,"['Yoann Blanc, ', 'Jasmina Douieb, ', 'Lara Hubinont, ', 'Tom Audenaert']",6554,2016
The Bureau of Magical Things,TV-G,25 min,"Drama, Family, Fantasy",6.8,"Teenage girl Kyra accidentally discovers an extraordinary world and gains magical powers; when an unexpected threat emerges, she must unite fairies, elves and humans to save them all.","['Kimie Tsukakoshi, ', 'Elizabeth Cullen, ', 'Mia Milnes, ', 'Julian Cullen']",2293,2018
The CEO,PG-13,105 min,"Drama, Mystery, Thriller",5.7,"Five top-level staff of a company are selected for a retreat where the new CEO of a global company will be chosen. What starts off as cordial soon goes sour as they attempt to outdo one another to be named ""The CEO.""","['Kunle Afolayan', '| ', '    Stars:', 'Angélique Kidjo, ', 'Wale Ojo, ', 'Jimmy Jean-Louis, ', 'Hilda Dokubo']",122,2016
The Chair,TV-MA,30 min,"Comedy, Drama",7.2,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.","['Sandra Oh, ', 'Jay Duplass, ', 'Bob Balaban, ', 'Nana Mensah']",16734,2021
The Chalet,TV-MA,52 min,"Drama, Mystery, Thriller",7,A reunion of childhood friends at a remote chalet in the French Alps soon turns into a desperate struggle for survival as they get cut off from rest of the world and a shocking dark secret from the past surfaces.,"['Chloé Lambert, ', 'Philippe Dusseau, ', 'Blanche Veisberg, ', 'Eric Savin']",7345,2018
The Challenge,TV-14,60 min,"Adventure, Game-Show, Reality-TV",7.8,Reality television alumni and others compete to win cash prizes.,"['T.J. Lavin, ', ""Chris 'C.T.' Tamburello, "", ""Johnny 'Bananas' Devenanzio, "", 'Aneesa Ferreira']",3454,1998
The Challenger,PG-13,95 min,"Drama, Sport",5.5,"Struggling Bronx mechanic Jaden Miller uses boxing to save himself and his mother from being homeless. With a legendary trainer, and a reality show built around him, Miller goes for the title.","['Kent Moran', '| ', '    Stars:', 'Kent Moran, ', 'Michael Clarke Duncan, ', 'S. Epatha Merkerson, ', 'Justin Hartley']",1394,2015
The Chef Show,TV-14,30 min,Documentary,8.2,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.","['Jon Favreau, ', 'Roy Choi, ', 'Aaron Franklin, ', 'Andrew Rea']",5174,2019
